"Anatomical Strucures, Cell Types and Biomarkers Table for brain v1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,07/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/10,AS/10/LABEL,AS/10/ID
brain,brain,UBERON:0000955,supraesophageal ganglion,supraesophageal ganglion,UBERON:6003626,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,corpus striatum,corpus striatum,UBERON:0000369,caudate nucleus,caudate nucleus,UBERON:0001873,tail of caudate nucleus,tail of caudate nucleus,UBERON:0002628,matrix part of tail of caudate nucleus,matrix part of tail of caudate nucleus,UBERON:0027246,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,fourth ventricle,fourth ventricle,UBERON:0002422,choroid plexus of fourth ventricle,choroid plexus of fourth ventricle,UBERON:0002290,fourth ventricle choroid plexus stroma,fourth ventricle choroid plexus stroma,UBERON:0006340,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,mushroom body,mushroom body,UBERON:0001058,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,future myelencephalon,future myelencephalon,UBERON:0010096,myelencephalon sulcus limitans,myelencephalon sulcus limitans,UBERON:0009578,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,valvula cerebelli,valvula cerebelli,UBERON:2000603,medial division,medial division,UBERON:2000280,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,fasciculus of brain,fasciculus of brain,UBERON:0005838,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,pars intercerebralis,pars intercerebralis,UBERON:0001059,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,eminentia granularis,eminentia granularis,UBERON:2002106,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,globus pallidus,globus pallidus,UBERON:0001875,lateral globus pallidus,lateral globus pallidus,UBERON:0002476,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,cerebellar cortex,cerebellar cortex,UBERON:0002129,regional part of cerebellar cortex,regional part of cerebellar cortex,UBERON:0002749,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,hindbrain venous system,hindbrain venous system,UBERON:0005720,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,hindbrain nucleus,hindbrain nucleus,UBERON:0009662,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,cerebellar nuclear complex,cerebellar nuclear complex,UBERON:0002130,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,globus pallidus,globus pallidus,UBERON:0001875,medial globus pallidus,medial globus pallidus,UBERON:0002477,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,fourth ventricle,fourth ventricle,UBERON:0002422,lateral recess of fourth ventricle,lateral recess of fourth ventricle,UBERON:0007656,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,valvula cerebelli,valvula cerebelli,UBERON:2000603,climbing fiber,climbing fiber,UBERON:2002185,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,ventricular system of brain,ventricular system of brain,UBERON:0005282,brain ventricle,brain ventricle,UBERON:0004086,choroid plexus,choroid plexus,UBERON:0001886,blood-cerebrospinal fluid barrier,blood-cerebrospinal fluid barrier,UBERON:0003210,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,corpus striatum,corpus striatum,UBERON:0000369,striatum,striatum,UBERON:0002435,ventral striatum,ventral striatum,UBERON:0005403,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,vestibulocerebellum,vestibulocerebellum,UBERON:0014642,flocculonodular lobe,flocculonodular lobe,UBERON:0003012,cerebellum vermis lobule X,cerebellum vermis lobule X,UBERON:0004083,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,fourth ventricle,fourth ventricle,UBERON:0002422,fourth ventricle ependyma,fourth ventricle ependyma,UBERON:0004644,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,vestibulolateralis lobe,vestibulolateralis lobe,UBERON:2000307,lateral granular eminence,lateral granular eminence,UBERON:2000187,,,,,,,,,,,,,,,
